10000 0.00000013 0.00000017 186 493
20000 0.00000016 0.00000019 819 2001
30000 0.00000016 0.00000022 1917 4223
40000 0.00000019 0.00000022 3458 7186
50000 0.00000022 0.00000026 5397 10833
60000 0.00000022 0.00000027 7724 14971
70000 0.00000024 0.00000030 10412 19676
80000 0.00000026 0.00000032 13510 24865
90000 0.00000029 0.00000037 16957 30439
100000 0.00000029 0.00000035 20695 36302
110000 0.00000033 0.00000038 24704 42587
120000 0.00000030 0.00000041 29047 49154
130000 0.00000032 0.00000042 33695 56082
140000 0.00000034 0.00000044 38651 63393
150000 0.00000035 0.00000047 43847 70826
160000 0.00000036 0.00000047 49223 78462
170000 0.00000037 0.00000046 54789 86339
180000 0.00000041 0.00000055 60581 94340
190000 0.00000047 0.00000056 66627 102475
200000 0.00000039 0.00000052 72826 110754
10000 0.00000014 0.00000016 186 493
20000 0.00000014 0.00000019 819 2001
30000 0.00000021 0.00000024 1917 4223
40000 0.00000022 0.00000028 3458 7186
50000 0.00000021 0.00000022 5397 10833
60000 0.00000025 0.00000024 7724 14971
70000 0.00000026 0.00000026 10412 19676
80000 0.00000023 0.00000028 13510 24865
90000 0.00000024 0.00000032 16957 30439
100000 0.00000026 0.00000033 20695 36302
110000 0.00000029 0.00000036 24704 42587
120000 0.00000029 0.00000038 29047 49154
130000 0.00000031 0.00000039 33695 56082
140000 0.00000031 0.00000041 38651 63393
150000 0.00000032 0.00000044 43847 70826
160000 0.00000034 0.00000044 49223 78462
170000 0.00000036 0.00000047 54789 86339
180000 0.00000036 0.00000048 60581 94340
190000 0.00000036 0.00000047 66627 102475
200000 0.00000037 0.00000049 72826 110754
